Accession.Number,species.label,corolla.width,spur.length,blade.length,blade.width,blade.cleft,sepal.length,sepal.width,anther.exsertion
114875,formosa,2.02,2.35,0.5,0.7,0,2,0.53,0.92
162666,flavescens,1.95,1.46,0.62,0.74,0,1.33,0.57,0.44
113854,formosa,1.45,2.14,0.21,0.3,1,2.36,0.74,0.96
113441,flavescens,2.2,1.56,0.66,0.64,0,2.43,1.21,0.79
158799,formosa,1.49,1.75,0.24,0.43,0,2.1,0.87,1.03
109039,flavescens,1.41,1.6,0.37,0.5,0,1.41,0.45,0.71
111325,flavescens,1.88,1.59,0.56,0.68,0,2.23,0.73,0.59
105691,flavescens,2.21,1.25,0.51,0.67,0,2.3,1.25,0.69
103591,formosa,1.2,1.55,0.26,0.25,0,1.84,0.5,1.12
77063,flavescens,1.54,1.27,0.36,0.63,0,1.55,0.7,0.59
81035,formosa,1.59,1.66,0.19,0.42,1,1.74,0.72,1.18
76121,formosa,1.85,1.68,0.45,0.66,0,2.17,0.73,1.17
149417,flavescens,1.38,1.31,0.34,0.47,0,1.43,0.43,0.49
72497,flavescens,1.84,1.63,0.57,0.66,0,1.83,0.61,0.51
127129,flavescens,2.92,2.04,0.86,0.74,0,2.84,1,0.67
125020,formosa,1.64,1.77,0.4,0.56,0,2.39,0.63,0.66
57146,formosa,1.55,2.1,0.26,0.38,0,1.81,0.64,1.29
115341,flavescens,1.88,1.59,0.69,0.56,0,2.44,0.74,0.67
115477,flavescens,1.92,1.51,0.54,0.76,0,1.51,0.91,0.73
18857,formosa,1.56,1.81,0.13,0.38,0,2.18,0.79,1.25
55304,flavescens,2.12,1.33,0.66,1.03,0,2,0.63,0.8
173869,flavescens,1.81,1.2,0.69,0.62,0,2.18,0.87,0.69
173761,flavescens,1.44,1.35,0.45,0.5,0,1.98,0.56,0.71
62687,flavescens,1.79,1.45,0.45,0.6,0,1.8,0.7,0.84
63177,flavescens,2.05,1.82,0.57,0.58,0,2.49,0.98,0.78
